,cname,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
21,Belize,0.70599997,BLZ,Caribbean,6649.1401,0.3499999940395355,15.69999980926514,6.5799999,,5.788949966430664
12,Bangladesh,0.57499999,BGD,SouthAsia,1796.64,154.6950073242188,33.09999847412109,0.0099999998,21.799999,2.818998575210571
120,Nepal,0.55500001,NPL,SouthAsia,1462.08,28.17499923706055,33.59999847412109,0.27000001,24.6,5.797225952148438
86,Kazakhstan,0.79299998,KAZ,EastEurope,14098.88,17.42200088500977,16.70000076293945,6.29,26.299999,4.355939865112305
101,Luxembourg,0.89600003,LUX,WesternDem,61404.48,0.550000011920929,1.700000047683716,11.12,24.4,6.937873363494873
184,United Kingdom,0.90799999,GBR,WesternDem,34791.051,64.59700012207031,4.099999904632568,10.37,20.299999,9.115471839904783
102,Madagascar,0.51099998,MDG,SubSaharian,822.62,,40.90000152587891,0.87,,3.041355133056641
121,Netherlands,0.92299998,NLD,WesternDem,42258.352,16.86499977111816,3.400000095367432,8.6800003,25.700001,10.89729309082031
192,Yemen,0.49900001,YEM,NorthAfrica,2170.9299,,46.29999923706055,0.039999999,,5.636990070343018
3,Andorra,0.85699999,AND,WesternDem,32367.33,,,9.9799995,33.099998,8.127135276794434
145,St Kitts and Nevis,0.76200002,KNA,Caribbean,11237.75,,,8.6800003,,5.080365180969238
127,Norway,0.94800001,NOR,WesternDem,57634.77,5.156000137329102,2.200000047683716,6.0599999,24.1,9.719717979431152
64,Germany,0.92400002,DEU,WesternDem,39486.699,80.98300170898438,3.400000095367432,11.03,30.700001,11.29700088500977
116,Mozambique,0.414,MOZ,SubSaharian,852.39001,25.73299980163574,63.09999847412109,1.16,18.799999,6.975581645965576
38,Colombia,0.72399998,COL,LatAm,8761.1396,47.6619987487793,15.10000038146973,4.3800001,11.6,7.201298713684082
187,Burkina Faso,0.39899999,BFA,SubSaharian,1095.96,16.5,65.80000305175781,4.6399999,19.1,4.960263252258301
165,Suriname,0.72299999,SUR,Caribbean,6049.1499,0.546999990940094,18.5,6.3200002,,5.687469959259033
66,Kiribati,0.58600003,KIR,Pacific,1532.65,0.1070000007748604,,0.52999997,54.0,10.21295070648193
152,Serbia,0.77499998,SRB,EastEurope,11343.92,7.166999816894531,5.699999809265137,9.0900002,42.099998,10.36881160736084
129,Marshall Islands,,MHL,Pacific,2833.97,0.0540000014007092,,,,17.13572311401367
171,Thailand,0.73799998,THA,SouthEastAsia,9295.5703,68.65699768066406,11.39999961853027,6.4099998,21.5,4.122164249420166
136,Philippines,0.67900002,PHL,SouthEastAsia,3953.1001,100.1490020751953,23.5,4.52,26.700001,4.709985256195068
191,Samoa,0.70200002,WSM,Pacific,3167.75,0.1920000016689301,,2.1500001,32.0,7.215108871459961
75,Iceland,0.91900003,ISL,WesternDem,31313.609,0.3289999961853027,1.799999952316284,7.4499998,17.5,8.859166145324707
155,Singapore,0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,2.299999952316284,1.83,16.200001,4.922791957855225
60,Djibouti,0.47,DJI,SubSaharian,2685.5,,,0.38,,10.56825637817383
74,Hungary,0.83399999,HUN,EastEurope,18310.811,9.876999855041504,5.300000190734863,10.88,29.6,7.400781154632568
126,Nigeria,0.52499998,NGA,SubSaharian,2246.8201,160.3419952392578,77.80000305175781,8.3000002,8.8999996,3.668798446655273
54,Ethiopia (1993-),0.44100001,ETH,SubSaharian,900.77002,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865
47,Benin,0.48100001,BEN,SubSaharian,1413.05,10.31999969482422,56.20000076293945,1.4,8.8000002,4.594296455383301
169,Syria,0.55299997,SYR,NorthAfrica,4284.4199,,14.19999980926514,0.75999999,,3.254531145095825
154,Sierra Leone,0.43099999,SLE,SubSaharian,979.95001,6.23199987411499,117.4000015258789,3.78,34.400002,11.0899019241333
30,Canada,0.91900003,CAN,WesternDem,36577.078,35.49599838256836,4.699999809265137,8.1000004,16.200001,10.44958209991455
7,Argentina,0.82599998,ARG,LatAm,15102.61,41.73300170898438,12.69999980926514,7.9299998,25.299999,4.785916328430176
105,Maldives,0.70099998,MDV,SouthAsia,13349.76,0.335999995470047,,1.92,,13.7335205078125
93,Laos,0.58200002,LAO,SouthEastAsia,2926.77,6.89799976348877,54.0,5.3899999,34.0,1.865545511245728
156,Slovakia,0.84200001,SVK,EastEurope,21776.34,5.415999889373779,6.300000190734863,10.6,28.799999,8.054047584533691
36,China,0.73400003,CHN,EastAsia,9283.3799,,12.10000038146973,5.7800002,25.9,5.548227787017822
157,Vietnam,0.67799997,VNM,SouthEastAsia,4147.5698,89.69100189208984,18.39999961853027,4.0900002,23.700001,7.066778182983398
29,Cameroon,0.514,CMR,SubSaharian,2658.51,,61.09999847412109,6.1900001,18.799999,4.103671550750732
24,Bulgaria,0.792,BGR,EastEurope,13967.45,7.202000141143799,10.5,12.03,36.799999,8.442913055419922
