id_artista,nombre_artista,fecha_de_nacimiento,nacionalidad
1,Dua Lipa,1995-08-22,Británica
2,Ariana Grande,1993-06-26,Estadounidense
3,Cardi B,1992-10-11,Estadounidense
4,Taylor Swift,1989-12-12,Estadounidense
5,Camila Cabello,1997-03-03,Cubana
6,Drake,1986-10-24,Canadiense
7,Post Malone,1995-07-04,Estadounidense
8,XXXTENTACION,1998-01-23,Estadounidense
9,J Balvin,1985-05-07,Colombia
10,Ed Sheeran,1991-02-17,Britanica
